wording,short_label,issue,version
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,Abortion should be legal for any reason,abany,previous project
Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,Legal abortion for fetal defects,abdefect,previous project
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,Legal abortion for mother’s health,abhlth,previous project
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,Legal abortion for married women,abnomore,previous project
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,Legal abortion for financial reasons,abpoor,previous project
Do you personally think it is wrong for a woman to have an abortion if the family has a very low income and cannot afford any more children.,Abortion due to poverty is wrong,abpoorw,previous project
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,Abortion legal for rape victims,abrape,previous project
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,Legal abortion for unmarried women,absingle,previous project
Even if it brings no immediate benefits - scientific research that advances the frontiers of knowledge is necessary and should be supported by the federal government.,Govt. should fund basic research,advfront,previous project
Some people say that because of past discrimination - blacks should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of blacks is wrong because it discriminates against whites. What about your opinion - are you for preferential hiring and promotion of blacks?,Preferential hiring of Blacks is good,affrmact,previous project
America should follow its own interests - even if this leads to conflicts with other nations.,US should forcefully seek its interests,amownway,previous project
American television should give preference to American films and programs.,TV should prioritize US films & shows,amtv,previous project
Do you favor the death penalty for persons convicted of murder?,Death penalty for convicted murderers,cappun,previous project
Those in need have to learn to take care of themselves and not depend on others.,Those in need must learn self-reliance,careself,previous project
Religious leaders should not try to influence how people vote in elections.,Religious leaders shouldn’t sway voters,clergvte,previous project
There are always some people whose ideas are considered bad or dangerous by other people. For instance: somebody who is against all churches and religion -- should such a person be allowed to teach in a college or university?,Allow antireligious college professors,colath,previous project
Consider a man who admits he is a Communist. Suppose he is teaching in a college. Should he be fired?,Communist teacher should be fired,colcom,previous project
Consider a man who admits that he is a homosexual. Should such a person be allowed to teach in a college or university?,Accept homosexual college professor,colhomo,previous project
Consider a person who advocates doing away with elections and letting the military run the country. Should such a person be allowed to teach in a college or university?,Allow teacher who is pro-military coup,colmil,previous project
Now consider a Muslim clergyman who preaches hatred of the United States. Should such a person be allowed to teach in a college or university?,Muslim hateful of USA can be teacher,colmslm,previous project
Consider a person who believes that Blacks are genetically inferior. Should such a person be allowed to teach in a college or university?,"Race science proponent, teach at Univ.",colrac,previous project
It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family.,"Man work, woman home–best for all",fefam,previous project
Because of past discrimination employers should make special efforts to hire and promote qualified women.,Extra effort to hire qualified women,fehire,previous project
Some people say that because of past discrimination women should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of women is wrong because it discriminates against men. What about your opinion - are you for preferential hiring and promotion of women?,Preferential hiring of women is good,fejobaff,previous project
Foreigners should not be allowed to buy land in America.,Shouldn’t let foreigners buy US land,forland,previous project
Do you think the use of marijuana should be made legal?,Legalize marijuana,grass,previous project
On the whole - do you think it should be the government's responsibility to impose strict laws to make industry do less damage to the environment?,Govt. should impose strict envir. laws,grnlaws,previous project
Would you favor a law which would require a person to obtain a police permit before he or she could buy a gun?,Buying gun should require police permit,gunlaw,previous project
Some people think that African-Americans have been discriminated against for so long that the government has a special obligation to help improve their living standards. Others believe that the government should not be giving special treatment to African-Americans. Do you think that the government should help improve the living standards of African-Americans?,Govt. should improve lives of Afr. Am.,helpblk,previous project
Some people think that the government in Washington should do everything possible to improve the standard of living of all poor Americans. Other people think it is not the government's responsibility and that each person should take care of himself. Do you think that the government should do everything possible to improve the standard of living of all poor Americans?,Govt. should raise living stds of poor,helppoor,previous project
In general some people think that it is the responsibility of the government in Washington to see to it that people have help in paying for doctors and hospital bills. Others think that these matters are not the responsibility of the federal government and that people should take care of these things themselves. Do you think that it is the responsibility of the government?,Govt. should help pay for health care,helpsick,previous project
What about sexual relations between two adults of the same sex--do you think it is always wrong?,Homosexual sex is always wrong,homosex,previous project
A man's job is to earn money - a woman's job is to look after the home and family.,"Men should work, women domestic duties",hubbywrk,previous project
People should support their country even if the country is in the wrong.,"Should support one’s country, even if wrong",ifwrong,previous project
When a person has a disease that cannot be cured -- do you think doctors should be allowed by law to end the patient's life by some painless means if the patient and his family request it?,Legalize euthanasia,letdie1,previous project
There are always some people whose ideas are considered bad or dangerous by other people. For instance somebody who is against all churches and religion. If some people in your community suggested that a book he wrote against churches and religion should be taken out of your public library -- would you favor removing this book?,Remove antireligious book from library,libath,previous project
Consider a man who admits he is a Communist. Suppose he wrote a book which is in your public library. Somebody in your community suggests that the book should be removed from the library. Would you favor removing it?,Remove communist book from library,libcom,previous project
Consider a man who admits that he is a homosexual. If some people in your community suggested that a book he wrote in favor of homosexuality should be taken out of your public library -- would you favor removing this book?,Remove pro-homosexuality library book,libhomo,previous project
Consider a person who advocates doing away with elections and letting the military run the country. Suppose he wrote a book advocating doing away with elections and letting the military run the country. Somebody in your community suggests that the book be removed from the public library. Would you favor removing it?,Remove pro-military coup library book,libmil,previous project
Consider a person who believes that Blacks are genetically inferior. If some people in your community suggested that a book he wrote which said Blacks are inferior should be taken out of your public library -- would you favor removing this book?,Remove library book with racist claims,librac,previous project
Would you be in favor of having a close relative or family member marry an Asian American person?,Relative marrying Asian person,marasian,previous project
Would you be in favor of having a close relative or family member marry a black person?,Relative marrying Black person,marblk,previous project
Would you be in favor of having a close relative or family member marry a Hispanic American person?,Relative marrying Hispanic person,marhisp,previous project
Homosexual couples should have the right to marry one another.,Same-sex marriage,marhomo,previous project
People who want children ought to get married.,Should marry before having children,marlegit,previous project
Would you be in favor of having a close relative or family member marry a white person?,Relative marrying white person,marwht,previous project
Ethnic minorities should be given government assistance to preserve their customs and traditions.,Govt. should aid minority traditions,mincult,previous project
In general - would you say that people should obey the law without exception rather than there are exceptional occasions on which people should follow their consciences even if it means breaking the law?,"Should obey laws, without exception",obeylaw,previous project
People should be willing to help others who are less fortunate.,People should help the less fortunate,othshelp,previous project
Do you agree that methods of birth control should be available to teenagers between the ages of 14 and 16 if their parents do not approve?,Birth control without parental approval,pillok,previous project
Would you approve of a policeman striking a citizen who had said vulgar and obscene things to the policeman?,Ok for police to strike person cursing,polabuse,previous project
Would you approve of a policeman striking a citizen who was attacking the policeman with his fists?,Ok for police to strike back if punched,polattak,previous project
Would you approve of a policeman striking a citizen who was attempting to escape from custody?,Ok for police to strike if person flees,polescap,previous project
Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen?,Police may sometimes hit male citizens,polhitok,previous project
Would you approve of a policeman striking a citizen who was being questioned as a suspect in a murder case?,Ok for police to strike a susp. murderer,polmurdr,previous project
Consider your feelings about pornography laws. Do you think it should be illegal?,Porn should be illegal,pornlaw,previous project
There's been a lot of discussion about the way morals and attitudes about sex are changing in this country. If a man and woman have sex relations before marriage -- do you think it is wrong?,Premarital sex is wrong,premarsx,previous project
Suppose there is a community-wide vote on the general housing issue. There are two possible laws to vote on (OWNER DECIDES and CAN'T DISCRIMINATE). Would you vote for owner decides?,Ok to discriminate when selling house,racopen,previous project
Would you be for sex education in the public schools?,Support sex ed. in public schools,sexeduc,previous project
Do you agree that it is sometimes necessary to discipline a child with a good hard spanking?,Sometimes children need spanking,spanking,previous project
Consider somebody who is against all churches and religion. If such a person wanted to make a speech in your (city/town/community) against churches and religion -- should he be allowed to speak?,Allow antireligious speeches,spkath,previous project
Consider a man who admits he is a Communist. Suppose this admitted Communist wanted to make a speech in your community. Should he be allowed to speak?,Allow Communist to give speech.,spkcom,previous project
Consider a man who admits that he is a homosexual? Suppose this admitted homosexual wanted to make a speech in your community. Should he be allowed to speak?,Allow homosexual to give speech,spkhomo,previous project
Consider a person who advocates doing away with elections and letting the military run the country. If such a person wanted to make a speech in your community -- should he be allowed to speak?,Allow pro-military coup speeches,spkmil,previous project
Now consider a Muslim clergyman who preaches hatred of the United States. If such a person wanted to make a speech in your community preaching hatred of the United States - should he be allowed to speak?,Allow Muslim to preach hatred of USA,spkmslm,previous project
Consider a person who believes that Blacks are genetically inferior. If such a person wanted to make a speech in your community claiming that Blacks are inferior -- should he be allowed to speak?,Allow speech by race science proponents,spkrac,previous project
Do you think a person has the right to end his or her own life if this person has an incurable disease?,Terminally ill have right to suicide,suicide1,previous project
Do you think a person has the right to end his or her own life if this person has gone bankrupt?,Bankrupt person has right to suicide,suicide2,previous project
Do you think a person has the right to end his or her own life if this person has dishonored his or her family?,Right to suicide if dishonored family,suicide3,previous project
Do you think a person has the right to end his or her own life if this person is tired of living and ready to die?,Right to suicide when ready to die,suicide4,previous project
Consider people who are in their early teens -- say 14 to 16 years old. In that case: do you think sex relations before marriage are wrong?,Premarital sex wrong for early teens,teensex,previous project
Both the husband and the wife should contribute to the household income.,Both husband & wife should have incomes,twoincs,previous project
Irish and Italians and Jewish and many other minorities overcame prejudice and worked their way up. Blacks should do the same without special favors.,Blacks shouldn’t get special treatment,wrkwayup,previous project
For certain problems - like environmental pollution - international bodies should have the right to enforce solutions.,Some solutions require intl. enforcing,wrldgovt,previous project
What is your opinion about a married person having sexual relations with someone other than the marriage partner--is it wrong?,Extramarital affairs are wrong,xmarsex,previous project
Do you think that the American government should have the right to keep people under video surveillance in public areas?,Govt. video surveillance is ok,cctv,new issues
It is alright for a couple to live together without intending to get married.,Cohabitation is alright,cohabok,new issues
"In general, America should follow the decisions of international organizations to which it belongs, even if the government does not agree with them.",USA should comply with intl. org.,decsorgs,new issues
Do you think that the American government should have the right to monitor e-mails and any other information exchanged on the Internet?,Allow Govt. monitoring of e-mails,emonitor,new issues
"People should take care of themselves and their families first, before helping other people.",Primary duty is to help self and family,firstyou,new issues
Do you think that the American government should have the right to collect information about anyone living in other countries without their knowledge?,US may spy on people in other countries,givinffor,new issues
Do you think that the American government should have the right to collect information about anyone living in America without their knowledge?,Govt. may spy on people inside the US,givinfusa,new issues
People who are better off should help friends who are less well off.,Should help less fortunate friends,helpfrds,new issues
There are different opinions about immigrants from other countries living in America. (By “immigrants” we mean people who come to settle in America). Do you agree that legal immigrants who are not citizens should have the same rights as American citizens?,Equal rights for non-citizens,immrghts,new issues
Adult children have a duty to look after their elderly parents.,Duty to care for one’s aging parents,kidpars,new issues
Some people say that it is better for a country if different racial and ethnic groups maintain their distinct customs and traditions. Others say that it is better if these groups adapt and blend into the larger society. Do you agree that it is better for a country if different racial and ethnic groups maintain their distinct customs and traditions?,Ethnic groups should remain distinct,meltpot1,new issues
Consider a couple who both work full-time and now have a new born child. They are both in a similar work situation and are eligible for paid leave. Some people think the mother and the father should each take half of the paid leave period. Others think that the mother should take the most if not entire paid leave period. Do you think the mother and the father should each take half of the paid leave period?,Parental leave should be shared equally,paidlvdv,new issues
There are many ways people or organisations can protest against a government action they strongly oppose. Do you think organising public meetings to protest against the government should be allowed?,Allow public meetings against govt.,protest1,new issues
There are many ways people or organisations can protest against a government action they strongly oppose. Do you think people should be allowed to organize protest marches and demonstrations against the government?,Allow demonstrations against govt.,protest3,new issues
Should people prejudiced against any racial or ethnic group be allowed to hold public meetings?,Allow prejudiced groups to publicly meet,racmeet,new issues
"There are some people whose views are considered extreme by the majority. Consider religious extremists, that is people who believe that their religion is the only true faith and all other religions should be considered as enemies. Do you think such people should be allowed to hold public meetings to express their views?",Allow religious extremists to meet1,relext1,new issues
People have different religions and different religious views. Would you accept a person from a different religion or with a very different religious view from yours marrying a relative of yours?,Relative marrying person of other faith,relmarry,new issues
Should religious extremists be allowed to hold public meetings?,Allow religious extremists to meet2,relmeet,new issues
Should people who want to overthrow the government by force be allowed to hold public meetings?,Allow coup advocates to publicly meet,revmeet,new issues
There are some people whose views are considered extreme by the majority. Consider people who want to overthrow the government by revolution. Do you think such people should be allowed to publish books expressing their views?,Allow publishing of revolutionary books,revpub,new issues
There are some people whose views are considered extreme by the majority. Consider people who want to overthrow the government by revolution. Do you think such people should be allowed to hold public meetings to express their views?,Allow revolutionary groups to meet,revspeak,new issues
Suppose the government suspected that a terrorist act was about to happen. Do you think the authorities should have the right to stop and search people in the street at random?,Stop-and-search to prevent terrorism,stoprndm,new issues
Suppose the government suspected that a terrorist act was about to happen. Do you think the authorities should have the right to tap people’s telephone conversations?,Allow wiretapping to prevent terrorism,tapphone,new issues
"All systems of justice make mistakes, but which do you think is worse: to convict an innocent person or to let a guilty person go free? Do you think that to convict an innocent person is worse?",Rather free guilty vs. convict innocent,verdict,new issues
Suppose the government suspected that a terrorist act was about to happen. Do you think the authorities should have the right to detain people for as long as they want without putting them on trial?,Indefinite detention to fight terrorism,wotrial,new issues
Do you think women should not work and stay at home when there is a child under school age?,Mothers should be home until school age,wrkbaby,new issues
Do you think women should not work and stay at home after the youngest child starts school?,Mothers should be home when school age,wrksch,new issues
