wording,short_label,issue,theme
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,Abortion should be legal for any reason,abany,Abortion
Do you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,Legal abortion for fetal defects,abdefect,Abortion
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman's own health is seriously endangered by the pregnancy?,Legal abortion for mother’s health,abhlth,Abortion
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children?,Legal abortion for married women,abnomore,Abortion
Do you think it should be possible for a pregnant woman to obtain a legal abortion if the family has a very low income and cannot afford any more children?,Legal abortion for financial reasons,abpoor,Abortion
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she became pregnant as a result of rape?,Abortion legal for rape victims,abrape,Abortion
Do you think it should be possible for a pregnant woman to obtain a legal abortion if she is not married and does not want to marry the man?,Legal abortion for unmarried women,absingle,Abortion
Do you favor the death penalty for persons convicted of murder?,Death penalty for convicted murderers,cappun,Capital punishment
There are always some people whose ideas are considered bad or dangerous by other people. For instance: somebody who is against all churches and religion -- should such a person be allowed to teach in a college or university?,Allow antireligious college professors,colath,Free speech atheist
There are always some people whose ideas are considered bad or dangerous by other people. For instance somebody who is against all churches and religion. If some people in your community suggested that a book he wrote against churches and religion should be taken out of your public library -- would you favor removing this book?,Remove antireligious book from library,libath,Free speech atheist
Consider somebody who is against all churches and religion. If such a person wanted to make a speech in your (city/town/community) against churches and religion -- should he be allowed to speak?,Allow antireligious speeches,spkath,Free speech atheist
Consider a man who admits he is a Communist. Suppose he is teaching in a college. Should he be fired?,Communist teacher should be fired,colcom,Free speech communist
Consider a man who admits he is a Communist. Suppose he wrote a book which is in your public library. Somebody in your community suggests that the book should be removed from the library. Would you favor removing it?,Remove communist book from library,libcom,Free speech communist
Consider a man who admits he is a Communist. Suppose this admitted Communist wanted to make a speech in your community. Should he be allowed to speak?,Allow Communist to give speech.,spkcom,Free speech communist
Consider a man who admits that he is a homosexual. Should such a person be allowed to teach in a college or university?,Accept homosexual college professor,colhomo,Free speech homosex
Consider a man who admits that he is a homosexual. If some people in your community suggested that a book he wrote in favor of homosexuality should be taken out of your public library -- would you favor removing this book?,Remove pro-homosexuality library book,libhomo,Free speech homosex
Consider a man who admits that he is a homosexual? Suppose this admitted homosexual wanted to make a speech in your community. Should he be allowed to speak?,Allow homosexual to give speech,spkhomo,Free speech homosex
Consider a person who advocates doing away with elections and letting the military run the country. Should such a person be allowed to teach in a college or university?,Allow teacher who is pro-military coup,colmil,Free speech militarist
Consider a person who advocates doing away with elections and letting the military run the country. Suppose he wrote a book advocating doing away with elections and letting the military run the country. Somebody in your community suggests that the book be removed from the public library. Would you favor removing it?,Remove pro-military coup library book,libmil,Free speech militarist
Consider a person who advocates doing away with elections and letting the military run the country. If such a person wanted to make a speech in your community -- should he be allowed to speak?,Allow pro-military coup speeches,spkmil,Free speech militarist
Now consider a Muslim clergyman who preaches hatred of the United States. Should such a person be allowed to teach in a college or university?,Muslim hateful of USA can be teacher,colmslm,Free speech muslim
Now consider a Muslim clergyman who preaches hatred of the United States. If such a person wanted to make a speech in your community preaching hatred of the United States - should he be allowed to speak?,Allow Muslim to preach hatred of USA,spkmslm,Free speech muslim
Consider a person who believes that Blacks are genetically inferior. Should such a person be allowed to teach in a college or university?,"Race science proponent, teach at Univ.",colrac,Free speech racist
Consider a person who believes that Blacks are genetically inferior. If some people in your community suggested that a book he wrote which said Blacks are inferior should be taken out of your public library -- would you favor removing this book?,Remove library book with racist claims,librac,Free speech racist
Consider a person who believes that Blacks are genetically inferior. If such a person wanted to make a speech in your community claiming that Blacks are inferior -- should he be allowed to speak?,Allow speech by race science proponents,spkrac,Free speech racist
Even if it brings no immediate benefits - scientific research that advances the frontiers of knowledge is necessary and should be supported by the federal government.,Govt. should fund basic research,advfront,Fund science
Do you think the use of marijuana should be made legal?,Legalize marijuana,grass,Grass
Would you favor a law which would require a person to obtain a police permit before he or she could buy a gun?,Buying gun should require police permit,gunlaw,Gunlaw
What about sexual relations between two adults of the same sex--do you think it is always wrong?,Homosexual sex is always wrong,homosex,Homosexuality
Homosexual couples should have the right to marry one another.,Same-sex marriage,marhomo,Homosexuality
Would you approve of a policeman striking a citizen who had said vulgar and obscene things to the policeman?,Ok for police to strike person cursing,polabuse,Police violence
Would you approve of a policeman striking a citizen who was attacking the policeman with his fists?,Ok for police to strike back if punched,polattak,Police violence
Would you approve of a policeman striking a citizen who was attempting to escape from custody?,Ok for police to strike if person flees,polescap,Police violence
Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen?,Police may sometimes hit male citizens,polhitok,Police violence
Would you approve of a policeman striking a citizen who was being questioned as a suspect in a murder case?,Ok for police to strike a susp. murderer,polmurdr,Police violence
Do you agree that methods of birth control should be available to teenagers between the ages of 14 and 16 if their parents do not approve?,Birth control without parental approval,pillok,Prosexuality
Consider your feelings about pornography laws. Do you think it should be illegal?,Porn should be illegal,pornlaw,Prosexuality
There's been a lot of discussion about the way morals and attitudes about sex are changing in this country. If a man and woman have sex relations before marriage -- do you think it is wrong?,Premarital sex is wrong,premarsx,Prosexuality
Would you be for sex education in the public schools?,Support sex ed. in public schools,sexeduc,Prosexuality
Consider people who are in their early teens -- say 14 to 16 years old. In that case: do you think sex relations before marriage are wrong?,Premarital sex wrong for early teens,teensex,Prosexuality
What is your opinion about a married person having sexual relations with someone other than the marriage partner--is it wrong?,Extramarital affairs are wrong,xmarsex,Prosexuality
Suppose there is a community-wide vote on the general housing issue. There are two possible laws to vote on (OWNER DECIDES and CAN'T DISCRIMINATE). Would you vote for owner decides?,Ok to discriminate when selling house,racopen,Racial discrimination
Would you be in favor of having a close relative or family member marry an Asian American person?,Relative marrying Asian person,marasian,Racial marriage
Would you be in favor of having a close relative or family member marry a black person?,Relative marrying Black person,marblk,Racial marriage
Would you be in favor of having a close relative or family member marry a Hispanic American person?,Relative marrying Hispanic person,marhisp,Racial marriage
Would you be in favor of having a close relative or family member marry a white person?,Relative marrying white person,marwht,Racial marriage
Some people say that because of past discrimination - blacks should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of blacks is wrong because it discriminates against whites. What about your opinion - are you for preferential hiring and promotion of blacks?,Preferential hiring of Blacks is good,affrmact,Societal treatment of African-Americans
Some people think that African-Americans have been discriminated against for so long that the government has a special obligation to help improve their living standards. Others believe that the government should not be giving special treatment to African-Americans. Do you think that the government should help improve the living standards of African-Americans?,Govt. should improve lives of Afr. Am.,helpblk,Societal treatment of African-Americans
Irish and Italians and Jewish and many other minorities overcame prejudice and worked their way up. Blacks should do the same without special favors.,Blacks shouldn’t get special treatment,wrkwayup,Societal treatment of African-Americans
It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family.,"Man work, woman home–best for all",fefam,Societal treatment of women
Because of past discrimination employers should make special efforts to hire and promote qualified women.,Extra effort to hire qualified women,fehire,Societal treatment of women
Some people say that because of past discrimination women should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of women is wrong because it discriminates against men. What about your opinion - are you for preferential hiring and promotion of women?,Preferential hiring of women is good,fejobaff,Societal treatment of women
Do you agree that it is sometimes necessary to discipline a child with a good hard spanking?,Sometimes children need spanking,spanking,Spanking
When a person has a disease that cannot be cured -- do you think doctors should be allowed by law to end the patient's life by some painless means if the patient and his family request it?,Legalize euthanasia,letdie1,Suicide
Do you think a person has the right to end his or her own life if this person has an incurable disease?,Terminally ill have right to suicide,suicide1,Suicide
Do you think a person has the right to end his or her own life if this person has gone bankrupt?,Bankrupt person has right to suicide,suicide2,Suicide
Do you think a person has the right to end his or her own life if this person has dishonored his or her family?,Right to suicide if dishonored family,suicide3,Suicide
Do you think a person has the right to end his or her own life if this person is tired of living and ready to die?,Right to suicide when ready to die,suicide4,Suicide
Some people think that the government in Washington should do everything possible to improve the standard of living of all poor Americans. Other people think it is not the government's responsibility and that each person should take care of himself. Do you think that the government should do everything possible to improve the standard of living of all poor Americans?,Govt. should raise living stds of poor,helppoor,Welfare
In general some people think that it is the responsibility of the government in Washington to see to it that people have help in paying for doctors and hospital bills. Others think that these matters are not the responsibility of the federal government and that people should take care of these things themselves. Do you think that it is the responsibility of the government?,Govt. should help pay for health care,helpsick,Welfare